,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS,4 BEDS
0,Berrington Village Apartments,https://www.rentcafe.com/apartments/nc/asheville/berrington-village-apartments/default.aspx,1 Overton Way,Asheville,NC,,28803,,,,,,
1,Autumn Park Apartments,https://www.rentcafe.com/apartments/nc/charlotte/autumn-park-apartments/default.aspx,1801 Interface Lane,Charlotte,NC,4.00,28262,"$1,171+","$1,488+","$1,498+",,,
2,Regency Place,https://www.rentcafe.com/apartments/nc/raleigh/regency-place-1/default.aspx,6210 St Regis Circle,Raleigh,NC,4.50,27606,"$1,307+","$1,352+","$1,498+",,,
3,Axis Berewick,https://www.rentcafe.com/apartments/nc/charlotte/axis-berewick/default.aspx,7015 Skye Bridge Way,Charlotte,NC,4.50,28278,"$1,510+","$1,802+",Ask for pricing,,,
4,Triangle Park Apartments,https://www.rentcafe.com/apartments/nc/durham/triangle-park-apartments/default.aspx,5011 S. Alston Ave,Durham,NC,3.50,27713,"$1,200","$1,400",Ask for pricing,,,
5,Magnolia Heights,https://www.rentcafe.com/apartments/nc/charlotte/sterling-magnolia/default.aspx,3720-103 Wendwood Lane,Charlotte,NC,4.50,28211,"$1,755","$2,145",Ask for pricing,,,
6,Rose Heights Apartments,https://www.rentcafe.com/apartments/nc/raleigh/rose-heights-apartments/default.aspx,3801 Glen Verde Trail #101,Raleigh,NC,3.50,27613,"$1,347+","$1,318+","$1,966+",,,
7,Chambers Ridge,https://www.rentcafe.com/apartments/nc/carrboro/chambers-ridge/default.aspx,201 Westbrook Drive #B-2,Carrboro,NC,3.00,27510,"$1,345+","$1,570+","$1,966+",,,
8,Cambridge Apartments,https://www.rentcafe.com/apartments/nc/raleigh/cambridge-apartments-1/default.aspx,6801 Chesterbrook Court,Raleigh,NC,4.50,27615,"$1,177+","$1,409+","$1,966+",,,
9,712 Tucker,https://www.rentcafe.com/apartments/nc/raleigh/712-tucker-management-inc/default.aspx,712 Tucker Street,Raleigh,NC,5.00,27603,"$1,566+","$2,715+","$1,966+",,,
10,Link Apartments® 4th Street,https://www.rentcafe.com/apartments/nc/winston-salem/501-west-4th-street-winston-salem-nc-27101/default.aspx,501 West 4Th Street,Winston-Salem,NC,5.00,27101,"$1,348+","$1,873+","$1,966+",,,
11,Link Apartments® Glenwood South,https://www.rentcafe.com/apartments/nc/raleigh/link-apartments-glenwood-south/default.aspx,202 North West Street,Raleigh,NC,4.50,27603,"$1,407+","$2,094+","$1,966+","$1,452+",,
12,Link Apartments® Linden,https://www.rentcafe.com/apartments/nc/chapel-hill/411-flemington-road-chapel-hill-nc-27517/default.aspx,100 Brandon Road,Chapel Hill,NC,4.50,27517,"$1,607+",Ask for pricing,"$1,966+","$1,452+",,
